1000 2000
162 819 4893044 
163 466 67780123 
163 928 36225878 
163 543 78684878 
164 887 23485100 
164 963 7586310 
165 442 34300583 
165 789 97145402 
165 627 9945910 
165 364 46984754 
165 755 72424070 
166 835 18591322 
166 958 94944133 
167 998 5967086 
168 553 31976385 
168 837 62214969 
168 722 53111767 
168 800 61918003 
168 508 58946738 
168 720 2592071 
170 373 73066905 
170 951 9772751 
170 253 17368965 
170 497 81951585 
170 586 70907207 
170 402 38408906 
171 873 433208 
171 802 36883451 
172 774 66957157 
172 486 69765539 
172 246 52526859 
172 209 39777116 
173 802 75347812 
173 560 74529728 
173 488 7052880 
173 690 30567300 
173 178 10358323 
174 652 46913425 
174 611 48446591 
174 969 21597226 
174 457 80782584 
174 255 41047351 
174 224 80747642 
174 363 42411747 
175 981 97759773 
175 279 81110259 
175 650 3621395 
176 378 21658152 
176 989 83676588 
176 946 33893598 
177 638 67796691 
177 529 75971290 
177 433 32431926 
177 967 38325490 
177 499 1603429 
178 866 44287867 
178 661 52828243 
179 439 32337596 
179 468 6971050 
179 509 36170633 
180 357 85668861 
181 910 35140745 
181 214 12023969 
181 636 67324432 
181 447 26101729 
181 271 55099161 
182 734 45128990 
182 279 88357817 
182 741 86882609 
182 687 569786 
183 473 48594402 
183 552 47921080 
183 981 63746462 
183 915 21402430 
183 855 97407879 
184 558 98008487 
184 345 62375790 
185 927 23813890 
185 976 79591328 
185 515 23718268 
185 240 84397575 
185 591 31980544 
185 410 58518572 
186 205 96401484 
186 973 64241268 
186 742 90402790 
186 479 3199413 
187 743 50700457 
187 223 93121990 
187 368 69175195 
188 539 389324 
188 426 13797019 
188 216 83287924 
189 513 10828177 
189 374 4745335 
189 794 83372854 
189 692 57033102 
189 715 12887689 
189 559 78241994 
189 487 71824886 
190 938 70428939 
190 806 96789069 
190 900 77654369 
191 749 75494537 
192 409 532715 
193 662 23815928 
193 429 41333299 
193 728 10468960 
194 655 55000276 
195 283 94528072 
195 704 19034650 
195 905 88631684 
196 782 57667155 
197 573 920151 
197 470 20737968 
197 958 51130529 
197 625 76836877 
198 828 41343595 
198 998 99556203 
198 344 81077960 
199 356 7875739 
199 208 56767717 
199 692 77728616 
199 448 80509242 
199 560 78243778 
199 686 4394806 
199 499 96001946 
200 638 16458405 
200 425 87738173 
200 699 53050350 
201 826 28416496 
201 214 7310684 
201 780 3572091 
201 250 75469874 
201 564 32311943 
201 293 95072190 
201 840 63905732 
201 552 35326310 
201 415 73652077 
201 642 56954266 
202 531 8250252 
202 638 88130315 
202 341 96342212 
202 419 24820325 
203 334 83369160 
203 370 12152060 
203 493 38105854 
203 708 74239602 
204 247 72131220 
204 599 23603030 
204 782 99190294 
205 963 65516821 
205 306 26941205 
205 669 41639192 
205 616 17067139 
205 507 78203752 
206 696 8669021 
206 798 60351334 
206 984 4483237 
206 331 43968292 
206 954 53609755 
206 240 35322975 
207 326 17989926 
207 560 7403339 
209 690 9403447 
210 459 93624120 
211 705 79609 
211 676 49134305 
211 376 43377504 
211 905 48824512 
211 742 42462927 
212 671 81619058 
212 638 34676913 
212 847 95749317 
212 431 62453423 
212 927 43505050 
212 358 45563376 
212 374 67542012 
213 749 98874544 
213 930 43409017 
213 417 81103875 
213 520 66203363 
213 341 36298040 
214 385 7850783 
214 902 4113052 
214 307 78053178 
215 999 24787703 
215 684 59287895 
215 525 29629612 
216 738 31078868 
216 591 80998320 
217 666 26610414 
218 261 62113781 
218 775 7530245 
218 908 43576808 
218 285 46849356 
218 504 96906606 
219 250 48360492 
220 496 77013204 
220 923 38711388 
220 460 85624272 
220 744 72165199 
221 517 71395712 
221 864 84695791 
221 750 80827873 
221 442 18678923 
221 402 93813532 
222 546 25824599 
222 526 92935617 
222 713 87849520 
222 606 76963505 
222 437 8818176 
222 878 89722391 
222 901 38507494 
223 268 50034618 
223 951 24900056 
223 490 6830224 
224 349 56880538 
225 995 55894824 
226 355 10583994 
227 321 36676485 
227 430 57128440 
227 397 62268606 
228 633 11583363 
229 604 12867465 
229 986 30769519 
230 314 35326692 
231 417 80195207 
231 288 82623064 
231 780 10469929 
232 981 46428832 
232 841 27007421 
232 875 55222104 
233 445 19889633 
233 474 78713694 
233 475 12318573 
233 548 50571035 
233 340 8185058 
233 643 75006278 
234 597 54379691 
234 989 69615072 
235 989 93611158 
235 669 97087766 
235 526 58555164 
236 915 46557423 
236 381 43484647 
236 624 90143506 
236 846 84713074 
236 917 87783225 
236 411 81921705 
236 832 44376074 
236 907 7672554 
236 708 6499190 
236 811 64904648 
237 972 28660827 
237 273 14232595 
237 612 10541259 
238 800 80369233 
238 247 72650300 
238 305 77077975 
238 806 18198115 
239 930 58941878 
240 848 68169931 
240 909 3430650 
240 648 69494456 
241 439 57911991 
241 290 75787632 
242 578 64897527 
242 824 79309512 
242 714 88622982 
243 409 34961850 
243 802 35812505 
243 490 42887504 
244 898 75338198 
244 407 43432054 
244 298 11531726 
244 381 23670650 
244 368 20397998 
245 283 12225415 
245 546 64590653 
246 881 50605630 
246 766 31784489 
246 823 59356476 
247 457 20772972 
247 702 21828815 
247 416 6246855 
248 739 45828012 
248 780 63394755 
248 672 68829629 
248 548 53726435 
248 676 48411767 
249 829 73133264 
249 259 83473953 
249 507 38797858 
249 848 22477319 
249 444 33032209 
249 648 89001858 
250 282 82876925 
250 569 96461370 
251 784 2702163 
252 747 37079539 
252 643 71799915 
252 638 23016979 
252 897 75401482 
253 775 20573012 
253 718 14413541 
254 664 86041539 
254 294 37693104 
254 958 41785866 
254 881 72437321 
254 701 84300816 
255 272 84430775 
255 269 96790699 
256 521 76111244 
257 989 44887877 
257 329 17360026 
257 363 99755894 
259 919 12563658 
260 468 55244197 
260 612 71564779 
260 476 75651410 
260 316 20761258 
261 474 4794946 
261 937 62445178 
261 731 33767332 
261 833 92957953 
261 314 27482141 
261 452 90744295 
262 927 12198280 
262 523 81367416 
262 509 43805463 
263 347 45184516 
263 552 46552502 
263 467 42978398 
264 297 66423751 
264 720 60236973 
264 691 95503639 
264 675 22928086 
265 916 11037387 
265 629 71772483 
265 954 58706381 
266 588 88427892 
266 289 65586743 
267 825 58629388 
267 925 41669591 
267 713 46616896 
267 279 33255956 
267 347 79777122 
268 337 45472255 
269 977 66021022 
269 932 42131972 
270 634 36001028 
270 607 45105320 
270 477 15460261 
271 553 67113060 
271 432 81972215 
272 531 38494587 
272 785 90941838 
272 741 89290426 
273 899 61216601 
273 327 53431971 
273 356 93065544 
273 969 22309291 
273 314 19013512 
273 626 11783823 
274 947 15938542 
274 798 12060022 
274 578 56341817 
274 451 44269807 
275 505 51603102 
275 295 19784723 
275 865 96059526 
276 832 72642684 
276 551 36277453 
276 648 70615466 
276 299 36088188 
276 679 6895578 
277 937 22597983 
277 888 91868123 
277 692 21766384 
278 960 48952069 
278 421 73314632 
279 921 52620306 
279 444 89747461 
279 368 63833533 
280 403 60311834 
280 584 10322731 
280 422 37125802 
281 353 32715633 
281 340 13295061 
281 725 49295329 
281 531 64979638 
281 331 10665650 
281 934 41939661 
282 468 43491989 
282 911 98376703 
284 382 34416987 
285 447 45785426 
285 905 96564226 
285 893 67358411 
285 659 65352828 
285 759 10245279 
285 656 38813769 
286 832 63203366 
286 773 18599461 
286 830 57788067 
286 683 52715798 
287 482 97843545 
287 523 24717201 
287 960 62085528 
287 640 8908039 
288 937 55311880 
288 880 67233109 
290 485 16448967 
290 928 25335520 
290 858 20708486 
290 916 38148709 
290 580 77813710 
290 768 98603897 
291 556 83990342 
291 377 30600778 
291 523 98871807 
291 883 17118491 
291 809 57299740 
292 834 61052641 
292 530 61284133 
293 983 8855174 
293 347 72213494 
293 817 79477645 
293 607 7427147 
294 608 49040050 
294 991 68492812 
294 598 72555937 
295 397 77938797 
295 696 4347269 
296 457 20120153 
296 566 25821011 
296 384 13911807 
296 385 58922334 
296 462 44652225 
297 769 87184726 
297 709 20474657 
298 650 58389676 
298 386 37611614 
298 667 13014312 
298 509 20317482 
300 538 11348403 
300 430 41161559 
300 958 9585206 
301 618 4676517 
301 861 42814428 
302 779 34069331 
302 384 37865683 
303 590 77631989 
303 498 17267437 
303 640 3187902 
305 829 78701409 
305 361 44451242 
305 412 66733261 
306 773 72752242 
307 684 5104297 
307 795 81043301 
307 612 13982843 
307 391 98458434 
308 851 69989994 
308 881 10258726 
308 926 56515590 
309 559 2094436 
309 583 18726909 
310 488 64619152 
310 331 47714066 
311 597 54225362 
313 722 93376538 
314 514 11762627 
315 522 20011678 
315 674 27721448 
315 759 13340270 
316 848 94722615 
316 389 85469942 
316 659 82291195 
316 919 24849086 
316 594 53820642 
318 978 54011584 
318 747 86824765 
318 970 59642829 
318 922 27204630 
319 521 50325442 
320 704 57008913 
320 712 94652867 
321 675 32009378 
322 741 83193761 
322 858 72181697 
323 767 50229213 
323 443 18985746 
323 960 1227191 
323 818 30759294 
323 393 61991635 
324 955 99029051 
324 527 23806451 
324 969 5573323 
326 400 73982848 
326 829 63510666 
327 778 77317823 
327 633 37364038 
327 532 82747110 
327 454 73042855 
328 383 60840986 
328 492 82151280 
328 689 75948951 
329 608 12248960 
329 746 10044580 
329 990 64150736 
329 630 39709254 
329 879 52826332 
329 798 8260759 
330 994 59341166 
331 604 5569789 
332 360 68665753 
333 590 28161603 
333 831 77921646 
333 462 25138243 
334 541 73093040 
334 920 29772848 
334 513 10025376 
334 562 237753 
334 655 44110316 
334 385 50958539 
335 906 49217399 
335 697 42698283 
335 571 95676227 
336 862 20149191 
336 660 60474390 
337 795 86652957 
337 722 72246364 
338 492 83940161 
338 621 61234296 
340 520 25857390 
340 854 74957803 
340 826 61215160 
340 859 26760976 
340 891 86721898 
340 435 25295682 
341 986 78517966 
341 663 46942344 
342 827 63266103 
343 365 38618228 
343 603 23409214 
343 719 85558337 
343 909 61502825 
345 526 90017058 
345 576 56161829 
345 582 64003761 
345 568 9801119 
345 460 72166367 
346 642 13884388 
346 538 76331093 
346 964 59480323 
346 772 39852057 
346 751 74252330 
346 862 22399864 
347 493 87335586 
347 896 52080646 
348 668 52797938 
348 992 14622070 
349 494 33730388 
349 399 56621016 
349 695 41359233 
350 792 81721961 
350 640 84323540 
350 765 34272567 
350 994 60860378 
350 468 61449185 
351 417 85057621 
351 601 33465956 
351 384 84314274 
352 510 32434903 
352 460 23560496 
352 820 20565795 
353 841 5041838 
353 525 76714771 
355 841 98667909 
356 446 35740032 
356 415 65978413 
357 748 37224877 
357 594 30912127 
357 781 20725679 
358 392 36929103 
358 766 73831296 
359 712 22362942 
359 710 6491292 
359 685 55843567 
360 767 48448048 
360 763 54311147 
361 374 39818926 
361 716 54188704 
362 834 73624728 
363 563 99931101 
363 401 13416886 
363 816 3861738 
363 992 64405838 
365 841 31723716 
365 627 26687001 
365 729 21062242 
365 991 17990035 
365 694 11274146 
366 512 10968998 
366 808 46505651 
367 966 56360447 
367 685 19024728 
367 801 99522916 
367 983 69788489 
368 764 83470948 
368 647 92792078 
368 380 40269696 
368 584 89686971 
368 544 3289738 
368 990 4396026 
368 387 51596466 
369 432 21584990 
369 723 95590326 
370 468 5077714 
370 737 65623410 
370 664 76943154 
370 817 61737058 
370 958 83553121 
371 938 99265916 
371 717 75749389 
371 606 46156444 
371 781 51887232 
372 866 4959659 
372 978 37048308 
372 562 87864996 
373 699 77625226 
373 445 4352682 
374 916 47572516 
374 865 60506579 
375 759 35878863 
375 575 25227247 
375 689 67520493 
375 828 38369455 
376 687 5187695 
377 843 77796980 
377 997 40937895 
377 715 68265089 
377 551 44958155 
378 644 98246407 
378 933 90461601 
378 412 78888530 
378 554 50247140 
379 490 37151742 
379 498 11264774 
379 570 38862298 
379 610 90440229 
379 813 39933857 
380 952 16697424 
380 723 56869127 
381 516 88626243 
382 839 5637464 
382 827 43053506 
382 549 26393296 
383 593 78176534 
383 762 99743864 
384 521 42540094 
384 797 74073164 
384 390 56899407 
384 784 98046748 
385 859 86078742 
385 888 49798105 
385 488 96937706 
386 394 37462477 
386 570 83901768 
387 789 94812818 
387 492 77531331 
387 578 65711571 
388 442 23627088 
388 512 53772701 
388 701 69387382 
388 587 7163331 
388 725 25121885 
388 881 8527130 
388 408 77501873 
389 402 75590692 
389 986 24733884 
390 967 59212659 
390 846 51508184 
391 456 77976515 
391 589 41723874 
391 778 31371827 
392 812 82340244 
392 729 52414564 
392 713 26608091 
392 807 1036152 
392 759 58003155 
393 681 35057439 
393 474 86920307 
393 989 70135749 
394 650 41121140 
394 479 41133635 
394 420 52863487 
395 843 20419568 
395 507 26997042 
396 419 3981422 
396 628 2166294 
396 752 69994136 
396 615 61295500 
397 915 9696526 
397 679 9036732 
398 724 32063595 
398 578 5294167 
399 777 38275640 
399 982 96383324 
399 759 20342873 
399 985 74016885 
399 626 43337659 
400 768 29709145 
400 739 89862297 
401 679 9185012 
401 583 35376962 
401 904 9374270 
402 497 78135296 
403 852 33225992 
404 538 79942695 
404 476 20227477 
404 412 20382158 
404 896 92833049 
405 993 74665179 
405 811 78445207 
406 785 17001825 
407 744 35677824 
407 854 74189296 
409 530 69100416 
409 791 47243998 
410 874 65421964 
410 584 39677645 
410 545 23991862 
411 506 25299294 
411 946 8920656 
412 738 92787534 
413 878 90557534 
413 734 36258433 
413 646 64756513 
414 748 51417184 
414 959 10154608 
414 675 87661675 
415 703 99839705 
415 985 49516761 
417 857 43842909 
418 663 54035347 
418 667 18536307 
418 854 23223708 
418 731 83522998 
418 695 82890370 
418 440 80872282 
418 923 95994657 
419 749 42531735 
419 814 93974492 
421 781 76659100 
422 948 73340732 
422 916 57285115 
422 473 2133441 
422 560 76364483 
422 457 91962389 
423 980 76211083 
424 434 67672296 
424 460 91212948 
424 678 8815346 
425 496 78428964 
426 462 47981290 
426 789 13792402 
428 517 17682289 
428 951 99034521 
428 435 79077744 
428 683 50797148 
428 811 36712168 
428 433 57658995 
429 647 74340535 
429 854 37849765 
430 778 92827894 
430 553 34366058 
431 944 58018814 
432 953 7578377 
432 924 16042063 
432 829 49473866 
432 862 12058217 
433 889 73437679 
433 628 15213081 
433 597 76020011 
434 848 78632189 
434 671 98451996 
434 590 45594340 
434 681 38797401 
434 713 93590307 
436 802 5971108 
436 596 57058776 
436 685 26519254 
436 801 48811260 
436 878 57283706 
437 920 24758029 
438 856 61505557 
438 618 11646210 
438 896 22305249 
438 545 45167371 
439 891 17169802 
439 574 20245981 
439 945 38078309 
440 990 62165090 
440 912 8430261 
440 788 62941499 
441 895 17861566 
442 949 48919977 
443 974 9966448 
443 990 89487328 
443 659 56098528 
444 785 30746903 
444 789 63818562 
444 953 91882636 
445 457 22787499 
446 573 12406514 
446 963 16861634 
446 625 17044859 
448 730 8680128 
449 863 89171873 
449 547 76097980 
449 498 93620422 
450 883 14688791 
450 518 78863361 
451 749 9210297 
451 786 29023195 
452 740 7830846 
452 591 91515118 
453 565 40632601 
454 530 54204626 
454 667 52747669 
455 611 58177764 
455 763 72692405 
455 772 13961040 
455 851 83016730 
455 941 86565121 
457 793 18974125 
457 727 94409445 
458 530 21887649 
459 810 97572331 
459 547 31202879 
459 683 70616270 
460 556 41989716 
460 877 68349351 
463 983 20380410 
463 558 87581815 
463 761 74909447 
464 790 23635277 
464 808 77161516 
464 881 74482903 
465 748 44908073 
465 482 6899161 
465 915 71915769 
465 647 25735463 
467 503 37358990 
467 930 8500937 
469 775 35616494 
469 697 12003300 
469 761 2005241 
470 694 26858105 
470 825 1145249 
470 876 98678833 
471 785 17560085 
471 500 30849623 
472 734 7105658 
473 751 16372184 
473 761 39166248 
473 619 37336186 
473 907 85817208 
474 734 78057475 
475 634 94896263 
475 817 12823297 
476 737 35119602 
476 984 38719340 
476 621 91093702 
476 578 61390665 
477 818 23896737 
477 892 59626877 
478 479 60921333 
478 775 41497497 
478 977 46464003 
479 771 35813122 
479 738 23824583 
479 707 37704346 
480 984 26783110 
480 684 35911116 
480 699 63171330 
481 531 26552870 
481 703 48346060 
482 659 43590399 
482 994 39689386 
482 495 1331827 
484 670 48112448 
484 967 84358167 
485 867 74303260 
485 794 73561187 
486 816 20550358 
487 602 38794916 
487 550 50912312 
487 788 24944184 
487 588 70147117 
487 844 2578431 
488 628 7862697 
489 876 11629379 
490 892 47891370 
490 664 72784340 
491 685 59815498 
492 899 56920285 
492 538 74575313 
493 499 7572000 
494 558 74661398 
495 656 95945270 
496 636 73435120 
496 634 79012312 
496 749 26785268 
496 597 68914235 
496 812 95573635 
497 738 28921551 
497 527 33193035 
497 500 57663060 
497 603 66207572 
498 998 96982268 
498 541 39098891 
499 691 26455221 
499 912 6734858 
499 918 15172971 
499 776 58993610 
499 627 10524576 
500 610 37944091 
500 735 63685800 
501 673 9869649 
501 614 56891691 
502 524 60445396 
502 541 53042617 
503 899 36048643 
503 638 13106467 
503 745 41364941 
504 562 84598783 
505 920 54968670 
505 981 46131939 
506 939 53335081 
506 842 89914961 
506 932 9625692 
507 704 21408155 
508 976 53202812 
508 971 32965479 
509 798 42080086 
512 925 70136804 
512 888 16561670 
512 936 72666305 
513 889 12172155 
513 955 12363223 
514 859 29967689 
514 643 28490704 
514 750 17587546 
514 946 40495807 
514 926 93957502 
515 770 67428609 
515 835 43605737 
515 664 75261991 
516 957 32476558 
516 689 45340092 
518 540 6191026 
518 826 67680203 
519 580 34858561 
519 898 73815599 
520 955 41943986 
520 564 13529184 
521 938 67682025 
521 793 86076474 
521 992 9912886 
522 836 48061916 
522 939 66862058 
522 901 26157328 
523 832 10376398 
523 771 98052336 
523 881 55439308 
523 561 58118492 
