10000 20000
120 4755 97334427 
120 6922 58193086 
120 9601 19305334 
121 5412 65027523 
121 9692 39854193 
121 1943 34099002 
122 391 51949796 
122 9251 84239900 
122 5946 83828574 
122 2319 46946263 
123 2876 33305393 
123 5710 34645479 
123 1223 43063545 
123 3369 57758963 
124 3082 90399132 
124 3712 71297000 
124 9319 46321097 
124 7862 94608710 
125 4787 48113124 
125 1854 47051442 
125 4699 69843245 
126 5832 57339713 
126 7380 85267976 
126 6303 61574983 
126 741 729058 
127 8590 34496564 
127 7806 6138859 
128 350 29139997 
128 8868 75056861 
128 4525 62267476 
129 8957 95048559 
129 4503 40358986 
129 8390 73902651 
129 727 51144082 
130 8587 85334604 
130 8918 72625333 
130 1517 30011585 
130 3816 42291209 
131 8696 49549711 
131 2982 7197067 
132 4592 23752124 
132 8296 25802599 
133 210 86043288 
133 3107 61376761 
133 4239 88424763 
133 5405 40760524 
133 6357 83185521 
133 7205 85053968 
133 2013 49728650 
134 6317 88850846 
134 2134 68371377 
135 3587 19511340 
135 4163 28058106 
135 5952 26100378 
135 1187 76295791 
135 2001 67545133 
136 4074 35548263 
136 8625 30126858 
136 2282 56632020 
136 6326 17938695 
137 1081 41559199 
137 4980 18316388 
137 2184 24878594 
138 3385 85124647 
138 4252 36393637 
138 6196 5413166 
139 9105 95239464 
139 2124 98352423 
139 2833 97188100 
140 1584 37855282 
140 1657 77375346 
140 8519 54390917 
141 2810 65105698 
141 9841 69251369 
141 9690 11101784 
142 1505 72533531 
142 2923 85529138 
142 2322 31581455 
142 155 63561616 
142 1560 35226419 
143 8372 38313748 
143 2837 99101226 
144 759 62056052 
144 9534 59786641 
144 1845 34672542 
144 640 33165561 
144 8655 85363297 
144 3381 68276741 
145 156 63389254 
145 6337 90900649 
145 8708 29973761 
145 244 34784663 
145 8806 80375426 
145 3887 94923181 
145 7842 41883953 
145 8726 78072358 
146 1768 56746145 
146 2334 24291589 
146 458 10584056 
146 3928 96716711 
147 6176 70345963 
147 4962 764220 
147 8083 33603318 
147 7951 93310905 
147 6174 70132901 
148 8367 49301074 
148 5417 30635814 
149 8409 86145439 
149 2653 51725632 
149 8139 11795222 
150 8322 1842988 
150 2520 16278889 
150 784 45489834 
150 4397 83191441 
150 6189 58979824 
150 9721 69584859 
151 9678 14917206 
151 4402 41315719 
151 4618 22209957 
152 1255 4073995 
152 5083 41803209 
152 7529 49215843 
152 8791 1845549 
153 2020 71548740 
153 2571 18617218 
153 5464 59529728 
153 1396 89762106 
155 8048 85944776 
155 5512 2078799 
155 641 22117684 
155 5345 18612454 
155 5180 3658226 
155 6181 11313393 
156 2988 49667118 
156 4435 78454120 
156 8660 77221011 
156 2668 79003923 
156 1461 7176245 
156 1917 59588605 
157 9199 74628298 
157 6463 53153442 
158 6491 46267979 
158 9365 74861367 
158 2231 76172295 
158 958 90819781 
159 5274 69249257 
159 1440 69784272 
159 1490 736221 
159 9381 87611752 
159 6354 68065516 
159 7550 74220700 
159 3501 79103985 
160 7417 79495843 
160 4647 70965046 
160 2790 8753666 
160 4669 6052021 
160 2198 75742554 
161 9351 94845281 
161 2536 4240127 
161 176 72843915 
162 1146 34111829 
162 8339 27698701 
163 824 81588033 
163 8102 3111900 
163 8058 39184125 
164 2604 98796527 
164 8322 3432285 
165 4487 67693900 
165 8754 78038202 
166 6330 54198971 
166 3644 24463185 
166 3575 11780166 
166 5243 78888456 
166 3036 52890054 
166 6249 73558762 
167 8138 7713236 
167 6999 13792488 
167 415 38411070 
167 2604 76670852 
167 1581 77239516 
168 8120 35647470 
168 8302 99862821 
168 6888 95576042 
169 2570 80214372 
169 5665 50788386 
170 9252 31501384 
170 8567 68891682 
170 6832 70772980 
170 6369 27981667 
170 7642 36447348 
170 7302 12305171 
170 2317 55610939 
170 9685 26173522 
171 7286 15314386 
171 3297 53131375 
172 5917 34256222 
172 963 16555753 
172 2704 33928402 
172 1651 50773099 
172 1531 28998469 
172 5795 70218233 
172 5671 87596022 
172 6642 16720463 
172 2338 74278029 
172 8751 56387143 
172 403 93193830 
173 3347 71597704 
173 4422 96912705 
173 7581 8331022 
174 3555 42253476 
174 3962 63577910 
174 439 77414042 
174 9757 3428848 
174 6739 12859821 
175 916 13044443 
176 5767 39290579 
176 6307 13185414 
178 3884 38148321 
178 4851 43338909 
178 8238 70733244 
178 8551 50137374 
179 7153 43238073 
180 7767 48786590 
180 6719 5958327 
180 2760 81988081 
180 4521 61627759 
181 1487 86455019 
181 8203 8073685 
181 2820 44078712 
182 8693 36303523 
182 8985 70755219 
182 2544 49570569 
182 3580 611208 
182 1514 21079136 
182 1755 59768529 
182 2429 24368321 
183 4845 91050489 
183 5838 8224115 
183 429 77910467 
183 4562 115572 
183 7214 31784760 
183 8155 87575663 
185 8074 71611747 
185 2028 46171654 
185 2754 75778671 
185 1122 10513593 
186 5442 73548529 
186 5234 35425350 
186 6321 6080919 
187 9924 30222393 
187 9246 81913685 
188 1434 60065170 
188 6030 13086317 
188 3457 50626304 
188 7444 52990643 
188 8780 50016015 
188 6769 88804529 
189 3373 97646563 
189 5546 60563860 
189 8702 21191985 
189 5756 25337499 
189 4723 39711565 
189 7409 57196328 
189 595 36219428 
189 6604 79782660 
190 6721 58804093 
190 4016 59919094 
190 8443 18460723 
190 3587 66316811 
190 3784 47920957 
190 480 10115039 
190 2802 35219001 
191 739 76620212 
191 4343 70668517 
191 7035 13617496 
192 3480 83599462 
192 1350 72384017 
192 6400 50195935 
192 3124 36572444 
192 387 17209381 
193 6537 42061907 
193 4081 41349388 
194 9184 8189610 
194 2283 94384451 
194 7741 67750932 
194 6241 52674500 
195 5264 68794134 
196 7800 2250401 
196 3956 68523913 
197 2385 39685395 
197 2178 33158389 
197 8182 14122987 
197 7182 73752826 
197 9731 60262481 
197 8751 99740505 
198 6739 29903109 
198 8858 98912728 
198 1031 14886198 
198 6953 60369907 
198 7988 34149696 
198 8190 19461931 
198 3598 82293584 
199 4592 4956134 
199 9530 74277736 
199 3381 24249838 
200 9734 90244354 
200 6923 8971898 
200 9135 91155344 
201 1530 98817480 
201 1676 14898369 
201 6535 2790116 
201 3058 45033539 
201 8883 39315056 
201 8049 13614913 
202 6892 45762600 
202 7703 44578293 
203 7318 29771185 
203 9527 77090192 
204 4785 89938848 
205 5071 91557930 
205 7323 57509551 
205 9758 97736742 
206 5880 13030591 
206 9914 55449483 
207 9065 24191364 
207 2684 75310832 
207 222 30838630 
207 2681 43972662 
207 3831 69031354 
207 1154 1615263 
207 9695 2078204 
207 8730 32744160 
208 2341 22784718 
208 9602 68149574 
208 1198 18598685 
208 2937 24468899 
208 8910 19602182 
208 4442 6167688 
209 797 13630451 
209 2425 84450264 
209 6247 30652551 
209 1759 66119039 
210 1819 75528296 
210 5283 42138228 
211 3342 6155723 
211 4592 79648850 
211 1154 45350797 
212 6993 62952392 
212 6739 75998368 
212 6746 79769750 
212 3681 97771953 
212 6800 35755143 
212 7363 32137456 
212 5059 19285685 
213 707 10790483 
213 6207 59689264 
214 9899 53090876 
214 909 85077692 
214 3879 66206571 
214 7870 16465211 
214 6994 58669707 
214 1394 94639691 
214 1000 30229969 
215 2899 49458288 
215 7214 16309523 
215 9181 33640268 
216 6041 17986393 
216 1003 75497551 
216 6222 40243920 
217 400 64810625 
217 8490 1523510 
217 5059 90715672 
217 8612 44157454 
217 6349 82255044 
217 8743 58910268 
217 8200 85030404 
217 3297 90932049 
218 5217 89630993 
218 995 9261467 
218 8996 43520980 
219 4118 47011183 
219 4591 26960285 
219 5628 26819085 
219 5078 54776492 
219 3452 7256000 
219 7350 50573543 
219 4867 23692148 
219 329 28774611 
220 7897 81460754 
220 3719 3238987 
220 8691 61808492 
220 9787 25805411 
221 6819 16753695 
221 7825 31980348 
222 548 43502145 
222 6259 40197584 
222 6976 14734980 
222 4473 12978793 
223 3514 40825609 
223 5806 85014264 
223 2908 60048393 
223 521 29207245 
223 7498 64720078 
224 1216 50261393 
224 6934 95074112 
224 2549 14475439 
224 4965 62523064 
224 3966 96087205 
225 2449 7265318 
225 9978 50447101 
226 3601 88600942 
226 5674 83548068 
226 8940 73878886 
226 275 3566899 
227 3616 25447852 
227 9319 91877260 
227 844 51721828 
229 8069 55618216 
229 3460 78526602 
229 6430 37885818 
230 2234 41039256 
230 7804 54653001 
230 2140 50836836 
231 1170 36310908 
231 641 49739252 
231 9463 98477747 
231 7057 24596526 
231 8599 38368199 
232 8549 60521567 
232 827 60625945 
232 9625 24043906 
232 5974 61791645 
232 8320 67169773 
233 9486 42398312 
233 8346 68990883 
233 6239 46444482 
234 1340 39661913 
234 4953 90057954 
234 5869 32369172 
234 2717 41689840 
235 3467 67470621 
235 9158 12437492 
235 4535 45911715 
236 671 15620588 
236 7712 74384309 
237 6967 37604232 
237 5229 20624681 
237 6720 98341045 
237 5853 90550479 
238 2791 73676588 
238 7514 19490465 
238 4764 32400824 
238 2453 18892123 
238 4865 14155524 
238 523 50320343 
238 2120 37710821 
238 7125 81256102 
239 2121 64305774 
239 2591 93255967 
239 965 11501336 
239 5549 79814653 
239 4603 15651592 
239 1476 21396685 
239 5051 2556974 
240 7225 89384111 
240 4584 51790481 
240 464 43892918 
241 1209 23811597 
241 2797 19737869 
242 2373 68258455 
242 8406 2463368 
242 9910 41076243 
242 8064 58202715 
243 4355 46593459 
243 8756 67190378 
243 9384 64160248 
244 9686 77101175 
244 3524 73518648 
244 347 60878768 
244 8723 84634311 
245 2575 65300799 
245 5016 79959877 
245 2277 51704198 
246 2912 82733600 
246 300 79803675 
246 5596 44599188 
246 6284 33095909 
246 608 23167009 
247 315 1109412 
247 8388 72143215 
247 4223 2765659 
247 8009 37419986 
247 8268 76231355 
248 7235 17504163 
248 2710 623232 
248 1322 41580521 
248 3601 58249437 
248 7542 12471470 
248 6885 74251071 
249 9499 31283232 
249 9325 36328435 
250 9440 86233014 
250 1481 12522798 
250 8246 3502321 
251 8245 55972633 
251 6509 23851751 
251 9689 32765438 
251 3693 43335131 
251 1526 72799269 
251 3991 28470320 
252 6316 29811839 
252 1628 72640731 
252 6387 37100742 
252 3527 87451805 
253 761 37378966 
253 9092 85100860 
253 3762 14474480 
253 8449 6813155 
253 2102 33788863 
253 4981 49355220 
253 9510 51609211 
254 914 10810964 
254 1988 53195118 
254 4245 22002230 
254 9372 82001188 
254 2740 74117473 
254 6908 50638793 
254 7425 85161032 
254 7143 23794956 
255 6760 69312944 
255 8429 94314407 
255 2133 74906515 
255 6739 56047758 
255 7984 58297120 
256 8198 44267200 
256 3831 89001695 
256 8343 36749860 
256 4735 4321427 
257 3547 62025349 
258 376 84723205 
259 6869 64380406 
259 9131 64503740 
259 375 63293338 
260 9863 89118936 
260 9068 57694003 
260 6315 82926411 
261 2045 35225663 
261 9731 95408325 
261 8695 31040953 
261 2916 51360473 
261 5277 51935082 
261 8072 22724721 
261 1905 82877811 
261 450 52012017 
261 4471 6723194 
261 8875 9513615 
262 9494 54336492 
262 1003 67597187 
262 4263 65084714 
262 3561 4695664 
263 1494 16006846 
263 9479 42165706 
263 4369 98267418 
263 6386 88295368 
263 4591 9959318 
263 3077 92786310 
263 7444 17170854 
263 9668 33382819 
264 7785 27469008 
264 1615 97756589 
264 7439 69935582 
264 9149 91037809 
264 5130 81171643 
265 4259 83207108 
265 3955 49808304 
265 4853 92033775 
265 6556 599063 
266 3613 58884187 
266 3924 54623668 
266 7856 47992725 
266 6558 47615632 
267 8491 24710105 
267 2933 33877116 
268 7574 98714700 
268 6240 40417302 
268 7070 28938033 
268 2639 32321635 
269 5738 94752312 
269 8793 82275077 
270 601 74565697 
270 8450 89920132 
270 3493 65106520 
271 3055 54060516 
271 9672 40051608 
271 9742 48201632 
272 5199 71126018 
272 1491 75499237 
273 8483 74689593 
273 5356 36435260 
273 4233 22837526 
273 2468 16172742 
273 4760 86256095 
274 1115 27630942 
274 3774 61340186 
274 9607 4383313 
275 936 38638315 
275 2076 3014609 
275 9115 10855204 
275 769 49807796 
276 5505 78495802 
276 1618 76841316 
277 1370 88981091 
277 7305 63689105 
277 7696 91647851 
277 738 95443193 
278 4414 22932582 
278 5014 75216252 
278 3419 7040557 
279 9181 32223263 
279 8492 18768581 
279 8548 14123857 
279 7070 99527270 
280 7688 80102229 
280 1689 80267599 
280 9839 67375364 
281 8930 20348734 
281 8316 4582654 
281 4611 61998060 
281 7141 24378505 
282 2377 57251603 
282 4436 67028441 
282 6228 39613988 
283 1656 92340757 
283 4038 3519993 
283 632 37451150 
283 6370 87428234 
283 8268 62691272 
283 9366 67351071 
283 5428 31359489 
283 9303 2437415 
284 8592 10623444 
284 4417 30655387 
284 7020 67614940 
285 2738 84811228 
285 5567 30802980 
285 5415 51715045 
285 6541 72849486 
286 4928 61926539 
286 864 31096179 
286 5698 34982844 
286 7986 8365200 
286 623 31868930 
286 8017 65815760 
286 7143 92423968 
287 4850 26708917 
288 6750 78870622 
288 6817 37878073 
288 9613 12422255 
288 4051 64220620 
288 4191 46269850 
289 8863 8176217 
289 4554 36713524 
289 4252 94259342 
289 1592 74122431 
290 9926 76945028 
291 8374 90901000 
291 4653 54190596 
292 9318 79685075 
292 3520 98390670 
292 5789 42669818 
292 8946 68242984 
292 6118 60462517 
293 1441 83425739 
293 5725 14402957 
293 7566 52775429 
293 6228 4919915 
293 7056 68726887 
294 3597 35005270 
294 2050 71546221 
294 8849 74743693 
294 4167 62519200 
294 684 64986562 
294 6942 98431099 
294 8669 94001336 
295 2658 47061528 
295 1229 48655990 
295 4732 71490452 
295 9902 35628923 
295 7111 44775871 
295 4668 34387147 
296 4209 14677899 
296 3773 43702864 
297 5722 16011225 
297 4920 31256841 
297 5914 15821914 
297 9511 92875297 
297 3883 61364662 
298 7730 9715341 
298 1714 41915351 
298 9278 60491085 
298 6350 23481477 
299 5139 59702423 
299 2246 45729514 
299 741 30590108 
299 9064 63149687 
299 9235 89484915 
299 7835 20919160 
300 9969 80503788 
300 9342 9010294 
301 9241 20840940 
301 2172 16636866 
301 6069 43916957 
301 7348 46567893 
301 6725 34909285 
301 623 62719952 
301 6497 30908086 
302 2856 49151364 
302 8823 12151692 
302 5423 11796351 
303 6406 89472225 
303 4240 27858455 
303 369 87756672 
304 8087 87369910 
304 1516 50247629 
304 7376 35708223 
304 980 27667458 
304 5277 63850009 
305 5045 75353209 
305 8840 7829365 
305 827 60413771 
305 5658 49138302 
305 5503 91021475 
306 2006 35762159 
306 6976 40174468 
306 9391 22923017 
306 2242 67465695 
307 3162 79332693 
307 492 92704696 
307 7606 97680098 
307 1892 95285498 
307 1637 92122017 
308 4928 40086070 
308 9471 92556176 
308 4087 79668142 
309 4970 15435590 
309 4292 53722466 
310 5588 93832570 
310 8776 28181823 
311 5939 15727412 
311 6595 84557652 
311 6870 62274796 
312 8707 50732605 
312 5295 46380536 
312 6017 99295652 
312 6929 51530033 
313 9612 20780293 
313 6042 73409867 
313 5606 58124248 
314 630 55968018 
314 2531 63443151 
314 3744 65187664 
314 837 50334087 
314 4639 30997166 
314 3908 22144193 
315 1267 30635613 
315 5146 1367787 
315 1117 4786822 
315 6887 79028109 
315 9191 89268869 
315 3583 31187999 
315 1519 84301395 
316 9511 12438020 
316 7161 88258031 
316 2526 25024961 
317 8853 56925338 
317 4466 61237838 
317 740 83806908 
317 4323 68867755 
317 3324 51530805 
318 4020 83548980 
318 9656 40924617 
318 2861 29946643 
318 7622 2431019 
318 9510 56951576 
319 7178 56117164 
319 2873 53056000 
319 3721 67057809 
319 9613 70226568 
320 4794 58580260 
320 4233 99906203 
320 2249 48282123 
320 4029 22182967 
320 5518 84563315 
321 4851 98975623 
321 1375 29367679 
321 9066 82530970 
321 3272 67528764 
321 3736 18152004 
322 726 71003160 
322 9727 37407721 
323 7958 11171767 
323 7105 7848637 
323 2397 39801148 
324 5545 14675480 
324 7629 91613856 
324 3615 57407917 
325 8845 37262878 
325 915 83475442 
325 9470 50829538 
325 6700 39034343 
325 2919 97438491 
326 4055 51872711 
326 5350 57231843 
327 7313 41526955 
327 5115 32328698 
328 2029 17400156 
328 3575 65972736 
329 8755 17182131 
329 7857 82092684 
329 1464 86815877 
329 9542 88332721 
330 9138 3450844 
330 1178 71525430 
330 2709 4630638 
331 419 67911033 
331 7175 78979730 
331 4131 45297993 
332 9556 21138986 
332 3825 4037315 
332 9101 20388985 
332 3649 26434207 
332 8694 67009815 
332 7317 2180282 
333 4434 74165657 
333 8012 66456103 
333 5425 19294785 
333 8208 62145864 
333 6374 26096258 
334 4329 75281579 
334 733 43925366 
334 3532 27303184 
334 2235 78572924 
334 2998 47317240 
335 6630 86506438 
335 8768 72275326 
335 4266 41369268 
335 8321 98881308 
335 4824 95230521 
335 6302 25542482 
336 1525 98115457 
336 2021 73316345 
336 3133 35684294 
337 3476 98243645 
337 4099 73637548 
337 1547 80481244 
337 3140 28374345 
338 7104 12047829 
338 9264 21725582 
338 9190 69990902 
338 8808 6746718 
338 4635 30189834 
338 2635 47185302 
339 5832 25045475 
339 8230 80816971 
339 2199 13374129 
339 7535 46410252 
339 3771 6960365 
339 2406 31993158 
340 1186 59250302 
340 6725 442138 
340 8141 25067941 
340 7859 74933352 
340 6440 85081779 
341 9707 70687079 
341 3943 65041508 
341 2519 26460001 
342 3917 45407056 
342 8320 61132339 
342 7763 50082657 
343 8144 88502385 
343 8063 12997508 
343 7579 78601586 
344 4305 22679906 
345 6451 61691619 
345 4549 88020367 
346 8722 85815707 
346 4340 76019888 
346 2110 56247162 
347 8745 74350034 
347 2308 90627539 
348 5330 82805699 
348 6689 44327582 
348 2238 54352393 
348 9770 36497546 
348 7496 91701886 
348 709 16843164 
349 9260 14880375 
349 8513 41752211 
350 6915 16643664 
351 3976 2892994 
352 4308 955643 
352 5319 75674826 
352 9452 89156761 
353 647 73396669 
353 7814 38837876 
353 9245 69276024 
354 7241 85794987 
354 7633 72038368 
354 722 57387722 
354 9700 32070563 
354 7897 78288054 
354 4797 61563448 
355 1862 36054653 
355 8341 97275982 
355 3108 9715018 
355 5830 98613640 
355 5941 48550520 
355 2577 89254172 
355 2353 58103116 
356 2120 4359007 
356 5609 21501218 
357 4915 55903189 
357 6856 16657567 
357 7382 14555900 
358 4899 28056619 
358 7171 47402645 
359 4206 91702028 
359 1200 55125328 
359 1334 37837672 
359 8006 30474796 
360 3326 14883041 
360 9303 12292885 
360 6196 25309225 
360 5273 52852268 
361 9745 61490689 
361 8731 59809327 
361 7371 78563350 
361 9340 30152362 
361 3227 2191079 
361 5846 59846279 
362 3024 98462693 
362 3976 53852112 
362 9640 8124971 
363 1139 82505210 
363 9107 88404556 
363 1428 88389393 
363 4841 63530186 
